"s"	"ADC 0"	"ADC 1"
0.02060000	2.456512	-0.013822
0.02080000	2.449354	-0.015182
0.02100000	2.442436	-0.016416
0.02120000	2.435703	-0.017598
0.02140000	2.429123	-0.018972
0.02160000	2.422746	-0.020053
0.02180000	2.412217	-0.021114
0.02200000	2.386106	-0.022132
0.02220000	2.353077	-0.023028
0.02240000	2.307167	-0.023848
0.02260000	2.235953	-0.024796
0.02280000	2.141012	-0.025571
0.02300000	2.045110	-0.026410
0.02320000	1.943620	-0.027262
0.02340000	1.844362	-0.027866
0.02360000	1.745885	-0.028515
0.02380000	1.648712	-0.029017
0.02400000	1.553116	-0.029526
0.02420000	1.458003	-0.029958
0.02440000	1.359768	-0.030568
0.02460000	1.253478	-0.031185
0.02480000	1.139692	-0.031312
0.02500000	1.024424	-0.031726
0.02520000	0.907694	-0.031948
0.02540000	0.788962	-0.032247
0.02560000	0.669015	-0.032584
0.02580000	0.548350	-0.032743
0.02600000	0.429115	-0.033169
0.02620000	0.312290	-0.033182
0.02640000	0.196374	-0.033442
0.02660000	0.082321	-0.033283
0.02680000	-0.028509	-0.033620
0.02700000	-0.137323	-0.033569
0.02720000	-0.243022	-0.033646
0.02740000	-0.344969	-0.033506
0.02760000	-0.444336	-0.033499
0.02780000	-0.538972	-0.033449
0.02800000	-0.623283	-0.033538
0.02820000	-0.694733	-0.033417
0.02840000	-0.752303	-0.033366
0.02860000	-0.794271	-0.033315
0.02880000	-0.817947	-0.032851
0.02900000	-0.820510	-0.032756
0.02920000	-0.803687	-0.032546
0.02940000	-0.770009	-0.032514
0.02960000	-0.721162	-0.032209
0.02980000	-0.659987	-0.032024
0.03000000	-0.591024	-0.031681
0.03020000	-0.520528	-0.031528
0.03040000	-0.454375	-0.031122
0.03060000	-0.395540	-0.030874
0.03080000	-0.341028	-0.030702
0.03100000	-0.285263	-0.030200
0.03120000	-0.225175	-0.030066
0.03140000	-0.163530	-0.029666
0.03160000	-0.105337	-0.029360
0.03180000	-0.060139	-0.029271
0.03200000	-0.030295	-0.028483
0.03220000	-0.021420	-0.028152
0.03240000	-0.034262	-0.027936
0.03260000	-0.058174	-0.027777
0.03280000	-0.084337	-0.027078
0.03300000	-0.111841	-0.026836
0.03320000	-0.141118	-0.026582
0.03340000	-0.170097	-0.025997
0.03360000	-0.198085	-0.025476
0.03380000	-0.224527	-0.025024
0.03400000	-0.250327	-0.024923
0.03420000	-0.274824	-0.024274
0.03440000	-0.298150	-0.024045
0.03460000	-0.320689	-0.023600
0.03480000	-0.342229	-0.022939
0.03500000	-0.362670	-0.022513
0.03520000	-0.382322	-0.022329
0.03540000	-0.401128	-0.021871
0.03560000	-0.418555	-0.021477
0.03580000	-0.435511	-0.020898
0.03600000	-0.451730	-0.020536
0.03620000	-0.466531	-0.020167
0.03640000	-0.480906	-0.019633
0.03660000	-0.494518	-0.019410
0.03680000	-0.507228	-0.018679
0.03700000	-0.519136	-0.018349
0.03720000	-0.530523	-0.017980
0.03740000	-0.541058	-0.017554
0.03760000	-0.550880	-0.017115
0.03780000	-0.560087	-0.016740
0.03800000	-0.568384	-0.016054
0.03820000	-0.576070	-0.015850
0.03840000	-0.583274	-0.015297
0.03860000	-0.589975	-0.014966
0.03880000	-0.595843	-0.014470
0.03900000	-0.601088	-0.014261
0.03920000	-0.605736	-0.013707
0.03940000	-0.610097	-0.013288
0.03960000	-0.613944	-0.012925
0.03980000	-0.616881	-0.012563
0.04000000	-0.619678	-0.012226
0.04020000	-0.621859	-0.011813
0.04040000	-0.623830	-0.011400
0.04060000	-0.625064	-0.011012
0.04080000	-0.625827	-0.010503
0.04100000	-0.626367	-0.010408
0.04120000	-0.626341	-0.009925
0.04140000	-0.625884	-0.009460
0.04160000	-0.625114	-0.009041
0.04180000	-0.623976	-0.009022
0.04200000	-0.622673	-0.008392
0.04220000	-0.620842	-0.008036
0.04240000	-0.618318	-0.007871
0.04260000	-0.616309	-0.007248
0.04280000	-0.613244	-0.006911
0.04300000	-0.610434	-0.006650
0.04320000	-0.606988	-0.006371
0.04340000	-0.603644	-0.006053
0.04360000	-0.599600	-0.005678
0.04380000	-0.595455	-0.005544
0.04400000	-0.591068	-0.005131
0.04420000	-0.586618	-0.004838
0.04440000	-0.581964	-0.004609
0.04460000	-0.576935	-0.004107
0.04480000	-0.571779	-0.004063
0.04500000	-0.566400	-0.003567
0.04520000	-0.560939	-0.003211
0.04540000	-0.555484	-0.003039
0.04560000	-0.549520	-0.002766
0.04580000	-0.543613	-0.002594
0.04600000	-0.537580	-0.002391
0.04620000	-0.531241	-0.002041
0.04640000	-0.525138	-0.001812
0.04660000	-0.518589	-0.001602
0.04680000	-0.512104	-0.001335
0.04700000	-0.505511	-0.000846
0.04720000	-0.498753	-0.000877
0.04740000	-0.491924	-0.000528
0.04760000	-0.485287	-0.000439
0.04780000	-0.478071	-0.000248
0.04800000	-0.471179	0.000127
0.04820000	-0.464052	0.000305
0.04840000	-0.456924	0.000388
0.04860000	-0.449848	0.000661
0.04880000	-0.442797	0.000858
0.04900000	-0.435282	0.001005
0.04920000	-0.428282	0.001151
0.04940000	-0.421041	0.001335
0.04960000	-0.413977	0.001494
0.04980000	-0.406634	0.001672
0.05000000	-0.399602	0.001761
0.05020000	-0.392125	0.001812
0.05040000	-0.384884	0.002041
0.05060000	-0.377547	0.002314
0.05080000	-0.370439	0.002416
0.05100000	-0.363369	0.002391
0.05120000	-0.356229	0.002708
0.05140000	-0.348651	0.002740
0.05160000	-0.341803	0.002874
0.05180000	-0.334632	0.003198
0.05200000	-0.327714	0.003351
0.05220000	-0.320676	0.003363
0.05240000	-0.313536	0.003421
0.05260000	-0.306568	0.003465
0.05280000	-0.299842	0.003688
0.05300000	-0.292734	0.003897
0.05320000	-0.286160	0.003840
0.05340000	-0.279554	0.003808
0.05360000	-0.272891	0.004145
0.05380000	-0.266113	0.004279
0.05400000	-0.259755	0.004158
0.05420000	-0.253150	0.003916
0.05440000	-0.246722	0.004355
0.05460000	-0.240351	0.004355
0.05480000	-0.234203	0.004412
0.05500000	-0.227820	0.004883
0.05520000	-0.221901	0.004800
0.05540000	-0.215772	0.004838
0.05560000	-0.209827	0.005074
0.05580000	-0.203819	0.005023
0.05600000	-0.198046	0.005061
0.05620000	-0.192235	0.004934
0.05640000	-0.186475	0.005054
0.05660000	-0.180944	0.005156
0.05680000	-0.175279	0.005264
0.05700000	-0.169932	0.005112
0.05720000	-0.164642	0.005226
0.05740000	-0.159372	0.005169
0.05760000	-0.153980	0.005067
0.05780000	-0.148932	0.005430
0.05800000	-0.144062	0.005366
0.05820000	-0.139217	0.005360
0.05840000	-0.134239	0.005379
0.05860000	-0.129325	0.005608
0.05880000	-0.124639	0.005665
0.05900000	-0.119864	0.005519
0.05920000	-0.115763	0.005633
0.05940000	-0.111001	0.005468
0.05960000	-0.106640	0.005779
0.05980000	-0.102501	0.005684
0.06000000	-0.098356	0.005773
0.06020000	-0.094147	0.005817
0.06040000	-0.090307	0.005671
0.06060000	-0.086206	0.005417
0.06080000	-0.082455	0.005767
0.06100000	-0.078271	0.005881
0.06120000	-0.074717	0.005773
0.06140000	-0.071150	0.005601
0.06160000	-0.067679	0.005709
0.06180000	-0.064119	0.005849
0.06200000	-0.060743	0.005811
